Date,count,pos,neg
2018-12-04,1,1,0
2018-12-05,2,2,0
2018-12-06,2,1,1
2018-12-07,1,0,1
2018-12-10,2,1,1
2018-12-12,2,2,0
2018-12-17,3,0,3
2018-12-19,4,3,1
2018-12-20,3,3,0
2018-12-24,4,3,1
2018-12-26,3,3,0
2018-12-27,1,0,1
2018-12-28,1,0,1
2019-01-02,4,3,1
2019-01-03,2,2,0
2019-01-07,5,3,2
2019-01-08,4,2,2
2019-01-09,3,2,1
2019-01-10,2,2,0
2019-01-11,1,0,1
2019-01-14,7,6,1
2019-01-15,3,2,1
2019-01-16,2,2,0
2019-01-18,1,1,0
2019-01-21,4,1,3
2019-01-22,1,1,0
2019-01-25,2,0,2
2019-01-28,2,0,2
2019-01-29,2,1,1
2019-01-30,2,1,1
2019-01-31,2,0,2
2019-02-01,1,0,1
2019-02-07,2,2,0
2019-02-08,1,1,0
2019-02-11,4,3,1
2019-02-12,3,1,2
2019-02-13,1,1,0
2019-02-18,5,4,1
2019-02-20,3,3,0
2019-02-21,2,2,0
2019-02-22,3,3,0
2019-02-25,7,6,1
2019-02-26,3,3,0
2019-02-27,3,3,0
2019-02-28,2,1,1
2019-03-04,4,4,0
2019-03-05,1,1,0
2019-03-06,3,1,2
2019-03-07,2,1,1
2019-03-08,2,1,1
2019-03-11,5,3,2
2019-03-12,1,1,0
2019-03-15,1,1,0
2019-03-18,3,3,0
2019-03-19,4,1,3
2019-03-20,1,1,0
2019-03-21,2,2,0
2019-03-22,1,1,0
2019-03-25,6,2,4
2019-03-26,1,1,0
2019-03-27,2,1,1
2019-03-28,1,1,0
2019-04-01,1,0,1
2019-04-04,2,2,0
2019-04-05,3,1,2
2019-04-08,2,1,1
2019-04-10,1,1,0
2019-04-11,1,1,0
2019-04-15,2,2,0
2019-04-16,2,2,0
2019-04-19,1,1,0
2019-04-22,3,1,2
2019-04-23,1,0,1
2019-04-24,2,1,1
2019-04-25,1,0,1
2019-04-26,1,0,1
2019-04-29,4,2,2
2019-04-30,2,1,1
2019-05-02,2,0,2
2019-05-03,1,1,0
2019-05-07,6,3,3
2019-05-08,2,2,0
2019-05-09,2,1,1
2019-05-13,2,1,1
2019-05-14,1,1,0
2019-05-15,1,1,0
2019-05-16,1,1,0
2019-05-17,2,0,2
2019-05-20,3,3,0
2019-05-21,2,2,0
2019-05-22,2,2,0
2019-05-23,3,1,2
2019-05-27,1,1,0
2019-05-28,1,1,0
2019-05-30,1,1,0
2019-06-03,1,1,0
2019-06-04,3,2,1
2019-06-05,1,1,0
2019-06-07,2,1,1
2019-06-10,4,3,1
2019-06-11,2,2,0
2019-06-12,2,1,1
2019-06-14,1,0,1
2019-06-17,6,4,2
2019-06-18,3,2,1
2019-06-19,2,1,1
2019-06-20,1,1,0
2019-06-21,1,1,0
2019-06-26,1,1,0
2019-06-28,1,1,0
2019-07-01,5,3,2
2019-07-02,2,2,0
2019-07-03,1,1,0
2019-07-04,3,1,2
2019-07-05,3,1,2
2019-07-08,2,2,0
2019-07-09,2,1,1
2019-07-10,2,2,0
2019-07-11,1,0,1
2019-07-12,3,2,1
2019-07-15,3,2,1
2019-07-16,2,1,1
2019-07-18,4,3,1
2019-07-19,1,1,0
2019-07-22,3,3,0
2019-07-23,2,2,0
2019-07-24,2,2,0
2019-07-26,3,2,1
2019-07-29,1,1,0
2019-07-30,2,1,1
2019-07-31,3,1,2
2019-08-01,3,0,3
2019-08-02,2,1,1
2019-08-05,4,3,1
2019-08-06,3,3,0
2019-08-08,3,2,1
2019-08-09,3,2,1
2019-08-12,2,1,1
2019-08-13,3,3,0
2019-08-14,1,1,0
2019-08-16,1,0,1
2019-08-19,4,2,2
2019-08-20,4,3,1
2019-08-22,1,0,1
2019-08-23,2,0,2
2019-08-26,2,1,1
2019-08-27,2,2,0
2019-08-28,2,2,0
2019-08-29,2,1,1
2019-09-02,1,1,0
2019-09-03,3,2,1
2019-09-04,1,1,0
2019-09-05,1,1,0
2019-09-06,2,2,0
2019-09-09,5,3,2
2019-09-10,1,1,0
2019-09-11,3,2,1
2019-09-16,5,5,0
2019-09-17,4,2,2
2019-09-19,2,2,0
2019-09-20,2,1,1
2019-09-23,2,2,0
2019-09-24,1,0,1
2019-09-25,1,0,1
2019-09-30,4,3,1
2019-10-02,2,1,1
2019-10-04,4,3,1
2019-10-07,4,2,2
2019-10-08,3,1,2
2019-10-10,2,2,0
2019-10-11,4,4,0
2019-10-14,1,1,0
2019-10-15,1,1,0
2019-10-16,1,1,0
2019-10-17,3,1,2
2019-10-18,1,1,0
2019-10-21,1,1,0
2019-10-23,1,0,1
2019-10-28,2,1,1
2019-10-30,2,1,1
2019-10-31,2,1,1
2019-11-01,6,5,1
2019-11-04,3,2,1
2019-11-05,3,2,1
2019-11-06,2,1,1
2019-11-07,2,2,0
2019-11-08,2,1,1
2019-11-11,2,2,0
2019-11-12,2,2,0
2019-11-13,3,2,1
2019-11-14,1,1,0
2019-11-18,3,3,0
2019-11-19,2,2,0
2019-11-21,1,1,0
2019-11-22,2,2,0
2019-11-25,1,1,0
2019-11-28,2,2,0
2019-12-02,3,2,1
2019-12-03,2,1,1
2019-12-04,2,1,1
2019-12-05,1,1,0
2019-12-09,3,3,0
2019-12-13,1,0,1
2019-12-16,3,1,2
2019-12-18,2,1,1
2019-12-19,1,1,0
2019-12-20,1,1,0
2019-12-23,4,3,1
2019-12-26,2,1,1
2019-12-27,1,1,0
2019-12-30,3,3,0
2020-01-02,4,4,0
2020-01-03,1,1,0
2020-01-06,5,5,0
2020-01-07,2,2,0
2020-01-09,1,1,0
2020-01-10,1,1,0
2020-01-13,4,3,1
2020-01-14,1,1,0
2020-01-17,1,1,0
2020-01-20,3,1,2
2020-01-21,2,2,0
2020-01-23,1,0,1
2020-01-28,3,0,3
2020-01-30,1,0,1
2020-01-31,4,0,4
2020-02-03,1,1,0
2020-02-04,2,1,1
2020-02-05,2,1,1
2020-02-07,1,1,0
2020-02-10,4,2,2
2020-02-11,1,1,0
2020-02-12,2,1,1
2020-02-13,2,2,0
2020-02-17,2,0,2
2020-02-18,1,0,1
2020-02-19,1,1,0
2020-02-20,2,1,1
2020-02-21,1,1,0
2020-02-24,5,2,3
2020-02-26,1,1,0
2020-02-27,2,1,1
2020-02-28,2,1,1
2020-03-02,4,1,3
2020-03-04,2,1,1
2020-03-05,2,1,1
2020-03-06,3,2,1
2020-03-09,2,0,2
2020-03-10,1,0,1
2020-03-11,1,1,0
2020-03-13,2,0,2
2020-03-16,3,2,1
2020-03-17,1,0,1
2020-03-18,1,1,0
2020-03-19,1,0,1
2020-03-20,1,0,1
2020-03-23,1,0,1
2020-03-24,2,0,2
2020-03-26,3,2,1
2020-03-27,2,0,2
2020-03-30,2,0,2
2020-03-31,1,0,1
2020-04-01,1,1,0
2020-04-02,2,1,1
2020-04-03,2,2,0
2020-04-06,2,0,2
2020-04-07,1,0,1
2020-04-09,1,1,0
2020-04-10,1,0,1
2020-04-13,2,1,1
2020-04-16,2,1,1
2020-04-17,1,1,0
2020-04-20,2,1,1
2020-04-21,1,0,1
2020-04-22,1,0,1
2020-04-27,2,1,1
2020-04-29,3,1,2
2020-05-04,4,2,2
2020-05-06,4,2,2
2020-05-07,1,1,0
2020-05-08,1,0,1
2020-05-11,1,1,0
2020-05-12,1,1,0
2020-05-13,1,1,0
2020-05-14,2,2,0
2020-05-15,2,2,0
2020-05-18,4,3,1
2020-05-19,3,2,1
2020-05-20,3,2,1
2020-05-21,1,1,0
2020-05-22,1,1,0
2020-05-25,3,2,1
2020-05-26,1,0,1
2020-05-28,1,0,1
2020-05-29,1,1,0
2020-06-01,2,0,2
2020-06-03,1,1,0
2020-06-04,4,2,2
2020-06-08,3,1,2
2020-06-09,1,0,1
2020-06-10,2,1,1
2020-06-11,3,2,1
2020-06-12,1,0,1
2020-06-15,1,0,1
2020-06-16,1,1,0
2020-06-18,1,1,0
2020-06-19,1,1,0
2020-06-22,3,2,1
2020-06-23,1,1,0
2020-06-25,1,0,1
2020-06-26,1,1,0
2020-06-29,3,1,2
2020-06-30,1,1,0
2020-07-01,2,1,1
2020-07-03,1,0,1
2020-07-06,2,2,0
2020-07-07,2,1,1
2020-07-08,1,0,1
2020-07-09,1,1,0
2020-07-10,2,1,1
2020-07-13,3,0,3
2020-07-14,1,1,0
2020-07-15,1,1,0
2020-07-16,1,1,0
2020-07-17,1,1,0
2020-07-20,2,0,2
2020-07-21,2,1,1
2020-07-22,2,1,1
2020-07-27,1,1,0
2020-07-28,1,1,0
2020-07-29,1,0,1
2020-07-30,1,1,0
2020-07-31,3,1,2
2020-08-03,3,2,1
2020-08-05,1,1,0
2020-08-07,1,0,1
2020-08-10,2,1,1
2020-08-11,2,0,2
2020-08-13,1,1,0
2020-08-14,1,1,0
2020-08-18,4,0,4
2020-08-19,1,0,1
2020-08-20,1,1,0
2020-08-21,2,1,1
2020-08-24,2,0,2
2020-08-31,2,2,0
2020-09-01,4,2,2
2020-09-02,1,0,1
2020-09-03,1,1,0
2020-09-04,3,2,1
2020-09-07,1,0,1
2020-09-08,1,1,0
2020-09-09,1,0,1
2020-09-10,1,1,0
2020-09-11,2,1,1
2020-09-14,1,1,0
2020-09-15,2,1,1
2020-09-16,3,1,2
2020-09-17,1,1,0
2020-09-18,1,1,0
2020-09-21,3,1,2
2020-09-22,2,1,1
2020-09-23,1,1,0
2020-09-24,2,1,1
2020-09-28,1,0,1
2020-09-29,1,1,0
2020-10-05,1,1,0
2020-10-06,2,1,1
2020-10-07,1,0,1
2020-10-08,4,2,2
2020-10-13,2,2,0
2020-10-14,1,1,0
2020-10-15,2,2,0
2020-10-16,3,1,2
2020-10-19,3,3,0
2020-10-20,3,2,1
2020-10-21,3,2,1
2020-10-22,1,1,0
2020-10-26,22,21,1
2020-10-27,3,2,1
2020-10-28,2,2,0
2020-10-29,2,2,0
2020-10-30,1,0,1
2020-11-02,4,3,1
2020-11-03,1,0,1
2020-11-04,2,2,0
2020-11-06,1,1,0
2020-11-09,4,2,2
2020-11-10,1,0,1
2020-11-11,2,2,0
2020-11-12,3,2,1
2020-11-13,3,2,1
2020-11-16,3,3,0
2020-11-18,2,2,0
