,content,prob,Sentimental,Date
1216," moving aggressively into US 5G marketKim Young-ki, head of  ' network business division, shows the firm's 5G network gear in a press conference at the tech firm's headquarters in Suwon, Gyeonggi Province, July 13. / Courtesy of  By Jun Ji-hye  has established a strong presence in th  2018-09-11",0.9665850400924683,Positive,2018-09-11
1217,"  opens new AI center in New YorkKim Hyun-suk, president of  ' consumer  division, delivers a speech during the opening ceremony for the new AI research center in New York, Friday. / Courtesy of  By Jun Ji-hye  has opened a new artificial intelligence (AI) research ce  2018-09-09",0.7975708246231079,Positive,2018-09-09
1219,Are foreigners returning to Seoul bourse?By Jhoo Dong-chanForeign investors are attracting a lot of attention in the stock markets as they have switched to the selling mode for the past two days following a weeks-long buying spree.Market analysts expect that foreign investors' buying spree is unlikely to be sustained due to lingering uncer  2018-09-06,0.7845592498779297,Positive,2018-09-06
1221,"Prosecutors demand 20-year jail term for ex-President LeeFormer South Korean President Lee Myung-bak, charged with 16 counts of corruption, heads to Seoul Central District Court in Seocho-gu after getting off a security transportation vehicle on Thursday. YonhapProsecutors requested a Seoul court Thursday sentence former President Lee Myung-bak to 20 year2018-09-06",0.8303236365318298,Negative,2018-09-06
1222,"s design lab studies millennials for new trendsFelix Heck, left, who heads  Design Europe, and Yeo Hong-ku, deputy head, explain the design of the  Odyssey gaming PC during a meeting with Korean reporters at the office in London, Monday. / Courtesy of  By Jun Ji-hyeLONDON ―   has operated a desig  2018-09-05",0.7677233219146729,Positive,2018-09-05
1223,"s steam closet to improve living spaceBy Jun Ji-hyeBERLIN _  ' new clothes refresher is not a simple home appliance but will play a role as furniture that harmonizes with people's living spaces, the company said Saturday.Models promote  ' new clothes refresher, the Air Dresser. / Courtesy of  E  2018-09-04",0.9219061732292175,Positive,2018-09-04
1224,"One dead, two injured in CO2 leak at  chip plant  plant in Giheung By Park Si-sooA worker is dead and two injured after toxic gas leaked at the   plant in Giheung, south of Seoul, police said Tuesday. The accident happened at 3:40 p.m. in a section of the first basement packed with fire extinguishing equipment.  2018-09-04",0.908449113368988,Negative,2018-09-04
1225,", ,  to benefit from struggling Chinese battery makersSeen is  Chem's battery plant in Nanjing, China. / Courtesy of  ChemBy Baek Byung-yeul Chem,  SDI,  Innovation and other battery makers for electric vehicles (EVs) here are attracting strong attention from investors and industry officials as to whether they can benefit from their incr  2018-09-03",0.8893990516662598,Positive,2018-09-03
1226,"Palawan ready to welcome Korean touristsASEAN-Korea Centre Secretary General Lee Hyuk delivers an opening speech during the ASEAN-Korea Tourism Capacity Building Workshop at Princesa Garden Island Resort and Spa in Palawan, the Philippines, Aug. 24. / Korea Times photo by Yi Whan-wooThis is the first of two articles on the ASEAN-Korea Tou  2018-09-03",0.9561817049980164,Positive,2018-09-03
1228,"Harman shows smart audio products at IFAA visitor tries out a pair of Harman headphones during the Internationale Funkausstellung (IFA) Berlin, which began Friday. The American company was acquired by   in March last year. / Courtesy of  By Jun Ji-hyeBERLIN ― Harman, an American car infotainment and aud  2018-09-02",0.8488576412200928,Positive,2018-09-02
1229,", KT,  set to choose 5G equipment suppliers Uplus will likely to use Huawei equipmentBy Baek Byung-yeulKorea's top mobile carriers --  Telecom (T), KT and  Uplus -- will announce their fifth-generation (5G) network equipment suppliers this month.Each carrier is expected to choose two to four manufacturers to set up the 5G network inf  2018-09-02",0.8588919043540955,Positive,2018-09-02
1230," to enhance AI-based home IoT businessHS Kim, president and CEO of Consumer  Division at  , speaks during a meeting with Korean journalists at the Westin Grand Berlin, Thursday, a day before the start of the Internationale Funkausstellung (IFA) Berlin, Europe's largest consumer  and home appliance  2018-08-31",0.9729859232902527,Positive,2018-08-31
1232," serves seniors on 'Happy Bus Day'Kim Kyeong-soon, an instructor of Happy Bus Day, teaches simple activities to senior citizens on the bus at Deoksan in South Chungcheong Province, Aug. 1. / Courtesy of  By Baek Byung-yeulWhen the entire country was engulfed by a scorching heat wave on Aug. 1, a group of senior cit  2018-08-30",0.845443606376648,Positive,2018-08-30
1234,",  enter into rivalry on 8K television  will debut its 8K QLED TV at the Internationale Funkausstellung (IFA) Berlin that kicks of today. / Courtesy of  By Jun Ji-hyeBERLIN ―   and   have entered into rivalry in the large-screen, premium TV market with 8K resolution by u  2018-08-30",0.943737804889679,Positive,2018-08-30
1235,Galaxy Tab S4 now on saleModels try  ' new tablet PC Galaxy Tab S4.  said it began selling the tablet PCs here Wednesday. / Courtesy of    2018-08-29,0.7843210101127625,Positive,2018-08-29
1236,"Committee to boost India, ASEAN ties launchesBy Kim Yoo-chulSouth Korea established a special committee to develop policies and adjust strategies for the country's relations with India and Southeast Asia in line with President Moon Jae-in's New Southern Policy.In a statement, Tuesday, Cheong Wa Dae said the newly launched New Southern Economic  2018-08-28",0.9325365424156189,Positive,2018-08-28
1237,",  to showcase cutting-edge products at IFASeen are  ' QLED TVs. The firm plans to unveil a new 8K QLED TV during the Internationale Funkausstellung (IFA) Berlin, which kicks off Friday. / Courtesy of  By Jun Ji-hye  and   are set to showcase their new products equipped with   2018-08-28",0.8723107576370239,Positive,2018-08-28
1239,"Insurers hit by 'IFRS 17' shocksBy Yoon Ja-youngThe country's life insurance companies are suffering from plunging sales as they prepare for a new accounting rule that will be adopted in 2021.According to the reporting by the country's 12 life insurance companies, their average operating revenue dropped 5.08 percent in the first h  2018-08-27",0.9173117876052856,Negative,2018-08-27
1240," wages war against Apple in smartwatch marketModels try on  ' Galaxy Watch smartwatch products at an  store, Sunday. The smartwatches go on sale here today. / Courtesy of  By Baek Byung-yeul  will begin selling its Galaxy Watch here today, vowing to oust market leader Apple Watch  2018-08-26",0.8933027982711792,Negative,2018-08-26
1241,Impossible to abolish national pension'By Kim Hyun-binPeople have been voicing outrage over the National Pension Service's recent proposal to increase premiums and extend the payment age to keep the national pension alive and running.There have been endless petitions on Cheong Wa Dae's website calling for the abolishment of the national   2018-08-26,0.8735126852989197,Negative,2018-08-26
1242,"Latvia to host 5G technology forumBy Yi Whan-wooLatvia will host the first Baltic Sea Region 5G Ecosystem Forum from Sept. 27 to 28 in its capital city of Riga, the Latvian Embassy in Seoul said last week. The forum, also called 5G Techritory, will bring together over 1,000 dignitaries from global enterprises and organizations relat  2018-08-26",0.9440057873725891,Positive,2018-08-26
1243, launches Note 9 worldwideVisitors to  ' Galaxy Studio in Dubai try the Galaxy Note 9 smartphone. The Note 9 is now available in 56 countries. / Courtesy of    2018-08-24,0.9307807087898254,Positive,2018-08-24
1245,"Dyson Korea hit for poor after-sales servicesThe Dyson Cyclone V10 / Courtesy of DysonDyson founder James DysonBy Park Jae-hyukDyson is facing growing criticism from Korean consumers because it has yet to fulfill its promise made earlier this year to improve the quality of its services in Korea, according to industry analysts Wednesday.The ins  2018-08-22",0.9763407111167908,Negative,2018-08-22
1246,",  to showcase new TVs, AI devices at IFASeen is  ' outdoor signage installed at Berlin Exhibition Grounds where IFA trade fair was held last year. This year's  show will take place from Aug. 31 to Sept. 5. / Courtesy of  By Baek Byung-yeulKorean tech giants   and  Electron  2018-08-22",0.9367141723632812,Positive,2018-08-22
1247,"Galaxy KB Star smartphoneKB Financial Group Chairman Yoon Jong-kyoo, left, shows off the Galaxy KB Star smartphone with KB Kookmin Bank customer Kim Bo-min, center, at the bank's branch in Seoul, Tuesday. KB has formed an alliance with   to launch the financial services-oriented smartphone that allows cust  2018-08-21",0.8589688539505005,Positive,2018-08-21
1248,"s new garment care appliance  President Kim Hyun-suk, who heads the consumer  division, introduces steam closet Air Dresser, the company's new clothing care appliance during a media showcase in Cheongdam-dong, Seoul, Tuesday. / Yonhap  2018-08-21",0.8419286012649536,Positive,2018-08-21
1249,"Is foreign IBs' pessimism on Korean firms valid?By Jhoo Dong-chanGlobal investment banks (IBs), such as Morgan Stanley and Goldman Sachs, have come under fire here for producing a series of downbeat reports on major Korean companies, including semiconductors and biotech firms.Their repots have led to a steep fall in stock prices weighing on Korea  2018-08-20",0.9727656841278076,Negative,2018-08-20
1250,",  among most popular brands in Indonesia  Co. and   Inc. were included on the list of the most popular brands in Indonesia, a report released by marketing agency Campaign Asia showed Friday.According to a review of Indonesia's top 100 brands for 2018 released by the organization,   took the2018-08-17",0.9301683306694031,Positive,2018-08-17
1251,Mobile games to bolster popularity of Galaxy Note 9Seen is an in-game “Galaxy” character in for the mobile game “Fortnite.”   said customers who pre-ordered a Galaxy Note 9 smartphone can receive the exclusive in-game in. / Courtesy of  By Baek Byung-yeul  is expanding  2018-08-16,0.8693553805351257,Positive,2018-08-16
1253,"  unveils advanced 5G network modem ' 5G network modem, Exynos Modem 5100. Courtesy of  By Jun Ji-hye  unveiled what it claims is the industry's first fifth-generation (5G) network modem that fully complies with the 3rd Generation Partnership Project (3GPP) Release 15 (Rel.15), th  2018-08-15",0.908684253692627,Positive,2018-08-15
1254,"Financial firms rush to Southeast AsiaBy Jhoo Dong-chanKorean financial firms are expanding their presence in Southeast Asia.Major banks are tapping into the world's most rapidly growing economies, which are considered to be their next overseas cash cows, in a bid to overcome difficulties in finding new revenue sources in the saturated   2018-08-14",0.9118011593818665,Positive,2018-08-14
1256," vows to cement smartphone market leadershipKoh Dong-jin, president of 's IT & Mobile Communications division, speaks during a press conference at the Conrad New York hotel, Friday. / Courtesy of  Korean tech giant expects to bounce back in China, IndiaBy Baek Byung-yeulNEW YORK --   said it will  2018-08-13",0.9494109749794006,Positive,2018-08-13
1257," will invest W1.5 tril. by 2022 for future techJay S. Chang, left, who heads  Research Funding & Incubation Center for Future Technology, speaks during a news conference held in central Seoul, Monday, to mark the fifth anniversary of the launch of  ' project to nurture future technologies, together with Kuk Young, ce  2018-08-13",0.8454101085662842,Positive,2018-08-13
1259," launches smarter Bixby AI assistantYi Ji-soo,  ' vice president of AI strategy speaks during a press conference at the Grand Hyatt New York hotel, Thursday. / Courtesy of  By Baek Byung-yeulNEW YORK -- As the importance of artificial intelligence (AI) technology has increased, top IT firms worldwid  2018-08-13",0.8674935698509216,Positive,2018-08-13
1260,Gov't shifting from 'income-led growth'By Park Hyong-kiThe Moon Jae-in administration has begun shifting its policy stance toward encouraging the private sector to invest and create jobs after a series of failures under his signature “income-led growth.” The Moon administration has taken a number of pro-labor measures to push  2018-08-12,0.871312141418457,Positive,2018-08-12
1262,"Galaxy Note 9 to take pre-orders from Aug. 13Models introduce  ' Galaxy Note 9 smartphones in this photo provided by the company on Aug. 10. / Courtesy of  By Baek Byung-yeulNEW YORK --   will take pre-orders for the Galaxy Note 9 smartphone starting Aug. 13, the company said Thursday.The a  2018-08-10",0.8418394923210144,Positive,2018-08-10
1263," unveils AI speaker Galaxy HomeYi Ji-soo,  ' vice president of AI strategy describes the new Galaxy Home AI speaker during its launch in New York, Thursday. / Reuters-YonhapBy Baek Byung-yeulNEW YORK --   has made its debut in the artificial intelligence (AI) speaker market by introducing its A  2018-08-10",0.9172014594078064,Positive,2018-08-10
1265,"Galaxy Watch to hit shelves on Aug. 24 ' Galaxy Watch / Courtesy of  By Baek Byung-yeulNew York --   revealed Galaxy Watch, its latest wearable device, Thursday.While introducing the new Galaxy Note 9 smartphone at Barclays Center in New York, the tech giant also introduced the smart  2018-08-10",0.9535351395606995,Positive,2018-08-10
1266," unveils Galaxy Note 9 in New York ' Galaxy Note 9 smartphone is introduced at Barclays Center in New York, Thursday. / Courtesy of  New Note has massive storage, Bluetooth-supported S PenBy Baek Byung-yeul ' Galaxy Note 9 smartphone / Courtesy of  New York -- S  2018-08-10",0.9379336833953857,Positive,2018-08-10
1267, BioLogics emerging as main unit BioLogics headquarters Incheon / YonhapBy Jun Ji-hye BioLogics will emerge as a main unit of  Group as Korea's top conglomerate has vowed to spend substantial resources to nurture biopharmaceutical technology as one of its new growth engines.Since Wednesday when the group unvei  2018-08-09,0.9676386117935181,Positive,2018-08-09
1268,"Korea to nurture 'platform economy'Finance minister cautions against excessive pessimismBy Yoon Ja-youngThe government will expand investment into the “platform economy,” as part of efforts to attain innovative growth through bold regulatory reforms, the country's finance minister said Thursday in speech outlining economi  2018-08-09",0.8358713984489441,Positive,2018-08-09
1269,"[ED] Massive investment's massive spending should boost 'innovative growth'  unveiled a much-anticipated investment and employment plan Wednesday. The tech giant will spend 180 trillion won ($161 billion) and hire 40,000 workers over the next three years, helping to reinvigorate the sluggish econo  2018-08-09",0.8232928514480591,Negative,2018-08-09
1270," will invest W180 tril. over next 3 yearsThe country's largest business group said it will create 40,000 new jobs through the investment and its business partners will generate 700,000 additional positions.   1  4     ,     70     .It plans to spend 72 percent of the investment,  2018-08-09",0.7185735106468201,Positive,2018-08-09
1271," to invest W180 tril. over 3 yearsBy Jun Ji-hye Group will invest 180 trillion won ($161 billion) over the next three years to nurture new growth engines, including artificial intelligence (AI) and fifth-generation (5G) networks, the company said Wednesday.The country's largest business group said it will create 40,000 new jo  2018-08-09",0.8706017136573792,Positive,2018-08-09
1272," rolls out $160 bil. investment project to rebuild reputation  Co. rolled out a major investment project worth 180 trillion won ($160 billion) on Wednesday, in line with Vice Chairman Lee Jae-yong's efforts to rebuild 's reputation and credibility in South Korea, industry watchers said.Lee, who has been serving as the de facto leader 2018-08-08",0.737673282623291,Positive,2018-08-08
1273,"Galaxy Note 9 to square off against new iPhoneBy Baek Byung-yeul  Seen is a concept image for  ' Galaxy Note 9 smartphone. / Captured from Android Central  is set to square off with Apple in the premium smartphone market in the second half of the year, as the Korean tech giant will unveil the Galaxy Note 9 th  2018-08-07",0.9335075616836548,Positive,2018-08-07
1274,"Adopting stewardship codeBy Alistair Smith  A recent commentary on South Korea's controversial draft of a stewardship code, to be adopted by the country's National Pension Service (NPS), highlighted resistance to the planned reforms from conglomerates (chaebol) and their supporters in academia and elsewhere (""NPS hit for in2018-08-07",0.7523564100265503,Positive,2018-08-07
1276,"[ED] Government-business meetingPolicymakers, corporate CEOs need to seek solutions togetherFinance Minister Kim Dong-yeon has met with   Vice Chairman Lee Jae-yong. Kim's visit to 's chip-making plant in Pyeongtaek, south of Seoul, Monday, drew particular attention as it was the first one-on-one meeting b  2018-08-07",0.9631289839744568,Positive,2018-08-07
1280," beefs up lobbying in USBy Baek Byung-yeul  has increased its spending on lobbying in the U.S. this year as the Donald Trump administration pursues “America First” trade protectionism.According to data from the Center for Responsive Politics (CRP), a Washington-based non-profit and nonpartisan  2018-08-05",0.8161437511444092,Positive,2018-08-05
1281,Finance minister faces dilemma over By Yoon Ja-youngEconomy and Finance Minister Kim Dong-yeon is in a dilemma over his scheduled visit to   today. Kim's planned visit to the nation's largest conglomerate may illustrate his sense of urgency about falling corporate investment but this is seemingly not shared by Cheong  2018-08-05,0.9844229817390442,Negative,2018-08-05
1282," spent $2.21 million on lobbying US politicians, bureaucrats in the first half: data  Co. is greatly increasing its lobbying efforts in the United States amid a rise in protectionist trends under the Donald Trump administration, industry sources said Sunday.Sources said the world's largest maker of semiconductors and smartphones is relocating its Washington, D.C. 2018-08-05",0.7844182252883911,Positive,2018-08-05
1283," to roll out Galaxy Tab S4 ' Galaxy Tab S4 / Courtesy of  By Baek Byung-yeul  unveiled its latest high-end tablet PC, the Galaxy Tab S4, Thursday claiming that it is a versatile 2-in-1 device that can be used as a laptop or tablet.The tech giant said the Galaxy Tab S4 sup  2018-08-02",0.9379706978797913,Positive,2018-08-02
1284,"Economy vulnerable to chip downcycleBy Park Hyong-kiThe economy has become more vulnerable as it has been supported only by the lone growth engine, exports.What is of more concern is that semiconductors alone have driven export growth. Analysts are voicing concern that given the chip industry is highly cyclical, semiconductor exports   2018-08-02",0.880838930606842,Negative,2018-08-02
1285,"[ED] Lack of investmentThe Korean economy has just shown another sign of slowing down. According to Statistics Korea, the nation's industrial output in June dropped 0.7 percent from May, marking the first negative growth in three months. Facility investment was also down 5.9 percent over the period, registering a decline 2018-08-02",0.9369131922721863,Negative,2018-08-02
1286," manager fires BB gun at 'underperforming' juniorA  executive shot a BB gun at a junior staff member. YonhapBy Jung Hae-myoungA   manager fired a toy BB gun at a junior staffer during a meeting in March, it has been reported. The manager did it to show his dissatisfaction with the employee's attitude and achievement. Colle  2018-08-02",0.9765822291374207,Negative,2018-08-02
1287,"  opens AI lab in Toronto  President and Chief Technology Officer Park Il-pyung, right, shakes hands with University of Toronto President Meric Gertler after agreeing to carry out studies on artificial intelligence technology, in this file photo released by the company, Aug. 1. / Courtesy of  By Ba  2018-08-01",0.7114603519439697,Positive,2018-08-01
1288,"Telecom firms moving away from HuaweiICT Minister Yoo Young-min, second from right, speaks during a meeting with  Uplus CEO Ha Hyun-hwoi, left, KT Chairman Hwang Chang-gyu, second from left, and  Telecom CEO Park Jung-ho at the Marriott Yeouido Park Centre, July 17, on the high-end 5G networks, stressing the importance of security   2018-08-01",0.9131420850753784,Positive,2018-08-01
1289," Electro-Mechanics enjoys soaring profitBy Jun Ji-hye Electro-Mechanics' operating profit surged by 193 percent in the second quarter from a year ago amid rising demand for high-performance multi-layer ceramic capacitors (MLCC), the company said.  Electro-Mechanics CEO Lee Yun-taeIn its earnings announcement, the firm posted  2018-08-01",0.911332905292511,Positive,2018-08-01
1290,"  relies heavily on semiconductorsA woman passes by advertisements of the  ' Galaxy S9 and S9 Plus smartphones at its shop in Seoul, Tuesday. / AP-YonhapChips account 78% of operating profitBy Baek Byung-yeul ' dependence on semiconductors has been deepening, raising concerns the company may be hi  2018-07-31",0.990328848361969,Negative,2018-07-31
1292,Pension fund to wield bigger influence on corporate managementBy Yoon Ja-youngThe National Pension Service (NPS) will be allowed to participate in the management of firms in which it has invested to ensure that the companies do not damage corporate or shareholder value.The measure is aimed at enhancing transparency in corporate management while improving inves  2018-07-30,0.913616955280304,Positive,2018-07-30
1294,"  offers tuition to underprivileged youthParticipants of  ' Dream Class program pose during the welcoming ceremony at Sungkyunkwan University's Suwon Campus, Friday. / Courtesy of  By Baek Byung-yeul  has been holding an annual summer camp called “Dream Class” for middle sch  2018-07-30",0.8967360258102417,Positive,2018-07-30
1295,"Selling like 'ice cakes': Air conditioners sales spike amid scorching heatAn  ' employee assembles air conditioners at the company's Changwon plant. / Courtesy of  By Baek Byung-yeulSales of air conditioners will surge to a record high this summer on the back of the unprecedented heat wave, home appliance makers said Monday.The companies said thi  2018-07-30",0.8661379814147949,Negative,2018-07-30
1297,"OLEDs for smartphones expected to overtake LCDs Display's flexible OLED panel. / Courtesy of  DisplaySmall- and medium-sized OLED panels, whose production has been led by  Display, are expected to have more than a 50 percent share of the smartphone market next year, overtaking TFT-LCD panels.According to market research firm  2018-07-29",0.8946404457092285,Positive,2018-07-29
1298,",  capitalizing on fast-growing dryer marketBy Baek Byung-yeul   ' TROMM dryer / Courtesy of  With a dryer being an essential home appliance in Western countries, more and more consumers here are purchasing the machine amid increasingly humid weather conditions.Korea's dryer market has experienced rapid growth. While  2018-07-27",0.9781347513198853,Positive,2018-07-27
1299,"Gov't signals 'friendlier' chaebol policyBy Park Hyong-kiThe government has signaled that it is shifting its policy toward more friendly with conglomerates in a bid to inject new vigor into the slowing economy.Stepping back from an earlier anti-chaebol policy, President Moon Jae-in and top economic policymakers are seeking to meet business  2018-07-27",0.8037587404251099,Positive,2018-07-27
1300, to mass produce new mobile DRAM ' second-generation 10-nano level LPDDR4X 8-gigabyte mobile DRAM / Courtesy of  By Baek Byung-yeul  has begun mass-producing its new mobile DRAM that enables mobile device makers to design slimmer smartphones with improved power efficiency and b  2018-07-26,0.7040913105010986,Positive,2018-07-26
1301, Securities faces fines for trading blunderBy Park Hyong-ki Securities tumbled Tuesday on news that the brokerage and some of its executives and employees will face fines and disciplinary measures following its trading blunder one of its workers made on April 6. The Financial Services Commission's (FSC) Securities and Futures Commissi  2018-07-24,0.9669643044471741,Negative,2018-07-24
1302,"s 'leukemia dispute' set to close as firm, victims reach consensus  and the advocacy group representing victims of work-related diseases Tuesday inked an agreement to accept upcoming mediation on the long-standing dispute surrounding compensation, which has lasted more than 10 years.In a landmark decision to end the long drawn-out case, the tech 2018-07-24",0.9867766499519348,Positive,2018-07-24
1304,[ED] Leukemia case should do more to ensure occupational safety  and its workers and their families will soon end their long-drawn-out dispute over fatal occupational diseases as both sides decided to accept a third-party arbitration proposal unconditionally. The proposal is expected to come   2018-07-23,0.7846782803535461,Positive,2018-07-23
1305, agrees to accept arbitration over leukemia casesBy Baek Byung-yeul Vice Chairman Lee Jae-yongThe long-lasting dispute over  ' alleged unsafe working conditions that may have caused over hundreds of its employees to contract incurable diseases such as leukemia has come to an end as the company decided to accept arbitration  2018-07-22,0.894670307636261,Negative,2018-07-22
1307,"  to report stronger Q2 profit Group Chairman Chey Tae-won, second from left, with   Vice Chairman Park Sung-wook, third from left, and senior  executives on the sidelines of Chey's recent visit to the company's key domestic chip fabrication plant in Icheon, Gyeonggi Province. Korea Times fileBy Kim Yoo-chulAlthough t  2018-07-22",0.7207767367362976,Positive,2018-07-22
1309,"[ED] Punishment of GoogleWhat have Korean competition authorities been doing?The European Union slapped a hefty antitrust fine of 4.34 billion euro ($5 billion) on Google, Wednesday. The EU's competition authorities said Google had abused its market dominance by making the most of the Android mobile operating system's monop  2018-07-20",0.9881614446640015,Negative,2018-07-20
1313,"Korea faces manufacturing exodusUnfriendly environment, tariffs forcing firms to go abroadBy Kim Jae-kyoungKorea is facing a massive outflow of major local manufacturers as they are rushing to expand overseas investments and build new factories abroad.This is in response to the government's unfriendly business policies coupled wit  2018-07-15",0.9224393367767334,Negative,2018-07-15
1314,"Korean products losing global brand powerBy Baek Byung-yeulKorea is losing its global market share in major industrial products as China is rapidly catching up in highly advanced technology under its ambitious “Made in China 2025” plan.Korean companies placed first in seven industrial categories last year, unchanged from 2016,   2018-07-11",0.7319819927215576,Negative,2018-07-11
1315," begins mass production of '5G' V-NAND ' fifth-generation V-NAND memory chips / Courtesy of  By Baek Byung-yeul  has embarked on mass-producing fifth-generation V-NAND flash memory chips for the first time in the industry, the company announced Tuesday.V-NAND is the flash memory tech  2018-07-10",0.8375281095504761,Positive,2018-07-10
1316,"[ED] Moon at  plantPresident should communicate more with business leadersPresident Moon Jae-in and Indian Prime Minister Narendra Modi inaugurated 's new mobile phone plant in Noida, southeast of New Delhi, Monday. The ceremony was one of the highlights of Moon's four-day state visit to India, a key partner in2018-07-10",0.9928290247917175,Positive,2018-07-10
1317,"President Moon turns to chaebol for job creationBy Yoon Ja-youngFollowing President Moon Jae-in's first meeting with the head of the country's top chaebol in India, there are expectations that the administration may change its anti-conglomerate stance and acknowledge them as major job creators. President Moon met   Vice Chairman  2018-07-10",0.895986795425415,Positive,2018-07-10
1318,"India offers hospitality for MoonPresident Moon Jae-in and Indian Prime Minister Narendra Modi react to Indian citizens during their subway ride in New Delhi, Monday, the second day of Moon's state visit to the country. / Korea Times photo by Koh Young-gwonBy Kim RahnThe Indian government is treating President Moon Jae-in with many  2018-07-10",0.9314701557159424,Positive,2018-07-10
1319,"Moon, Modi to hold summit todayPresident Moon Jae-in and Indian Prime Minister Narendra Modi attend the opening ceremony of  ' new plant in New Delhi, India, Monday. / YonhapSouth Korean President Moon Jae-in and Indian Prime Minister Narendra Modi were set to hold a bilateral summit Tuesday, following a series 2018-07-10",0.9127821922302246,Positive,2018-07-10
1320,"Moon visits  factory in IndiaPresident Moon Jae-in and Indian Prime Minister Narendra Modi attend the completion ceremony for  ' mobile phone factory in Noida, India, Monday.  Vice Chairman Lee Jae-yong, second from left in the second row, showed them around the facilities. / Joint Press CorpsPresident,  2018-07-09",0.9411641955375671,Positive,2018-07-09
1321,"Moon offers olive branch to By Baek Byung-yeulPresident Moon Jae-in has finally offered an olive branch to  Group, from which he has been keeping his distance, in the name of eradicating the “deep-rooted evils” of the former Park Geun-hye administration.This is the first time for President Moon to attend an   2018-07-09",0.9766445159912109,Positive,2018-07-09
1322,",  smartphones struggle on China threat Galaxy S9 smartphone / Courtesy of  By Baek Byung-yeulIncreasing competition with Chinese companies and no wow factors in their premium smartphone lineups have seen   and   suffer from declining operating profits in the second quarter, industr  2018-07-08",0.9669786095619202,Negative,2018-07-08
1323,"Pessimism prevailing in Seoul bourseBy Jhoo Dong-chanOptimism prevailed not only among local investors but also among industry analysts when the benchmark KOSPI reached its peak of nearly 2,600 points in late January. The party, however, came to an end as the nation's stock market has since dramatically dropped and is yet to hit botto  2018-07-08",0.9367472529411316,Negative,2018-07-08
1324,"Not a good time to be chaebol'Investigations into personal wrongdoings of tycoons should not affect businessBy Yoon Ja-youngThe country's leading conglomerates are facing unprecedented simultaneous bad events. On top of the current administration's pressure to reform them, the tycoons of the top business groups are making headli  2018-07-08",0.9951310157775879,Negative,2018-07-08
1325,"Moon begins six-day trip to India, SingaporePresident Moon Jae-in and first lady Kim Jung-sook bow before boarding a plane for India at Seoul Airport in Seongnam, Gyeonggi Province, Sunday. / YonhapSummit may focus on North Korea, economic relationsBy Lee Min-hyungPresident Moon Jae-in kicked off a six-day trip to India and Singapore, Sunday,  2018-07-08",0.8723633885383606,Positive,2018-07-08
1326,"Korea strengthens partnership with IndiaPresident Moon Jae-in shakes hands with Indian Prime Minister Narendra Modi on the sidelines of the 2017 G20 summit in Hamburg, Germany. / Indian Press Information BureauBy Yi Whan-wooPresident Moon Jae-in's state visit to India from July 8 ti 11 comes amid a rapidly changing security and trade envi  2018-07-08",0.951298177242279,Positive,2018-07-08
1327,"[Ed] Moon's 'New Southern Policy'President leaves for India, Singapore President Moon Jae-in is visiting India and Singapore this week to advance his “New Southern Policy.” The two countries are key nations in this diplomatic initiative by Moon to diversify Korea's diplomatic and economic strategies. President Moon emba2018-07-08",0.9837212562561035,Positive,2018-07-08
1328,"More consumers value high quality audio ' XBOOM Go portable speaker / Courtesy of  By Baek Byung-yeul makers have been rushing to manufacture premium, high-priced audio products as consumers want better sound quality.  recently rolled out the  XBOOM GO portable speaker equipped with hig  2018-07-06",0.8062020540237427,Positive,2018-07-06
1329,"  falls short of expectations in Q2By Jun Ji-hye  failed to post record-breaking earnings in the second quarter, apparently due to weaker-than-expected sales of smartphones.The tech giant said in an earnings guidance report Friday that sales stood at 58 trillion won ($52 billion), down 4.9 percent year-on-year; whil  2018-07-06",0.8447438478469849,Negative,2018-07-06
1330, chief to meet President Moon in IndiaBy Yoon Ja-youngPresident Moon Jae-in and   Vice Chairman Lee Jae-yong are expected to have their first meeting Monday at a ceremony to mark the completion of the company's new smartphone plant in India. The meeting is in the spotlight as it is the first time for President Moon to   2018-07-06,0.9939928650856018,Positive,2018-07-06
1331,"s operating profit up 5.19 percent in Q2  Co. said Friday its second-quarter operating profit advanced 5.19 percent from a year earlier, but it failed to post record-breaking earnings apparently due to weaker-than-expected smartphone sales.Operating profit for the three-month period came to 14.8 trillion won (US$13.2 bil2018-07-06",0.9245458841323853,Negative,2018-07-06
1332,"Court prevents ex- employee from working for Chinese firmBy Baek Byung-yeulA court has ordered a former  Display employee not to work for the firm's Chinese competitor, citing concerns over a possible technology leakage. The Suwon District Court Thursday sided with  Display, banning a former employee from taking a new job at an affiliate of   2018-07-05",0.8272926807403564,Negative,2018-07-05
1333,"US import restrictions to dent South Korean washers, steels, solar panelsEmployees of   appliance manufacturing factory in Newberry County, South Carolina, assemble washing machines, May 2018. Korea Times fileU.S. restrictions on imports of South Korean steel, washing machines and solar cells are expected to cost Asia's fourth-largest economy more than 2018-07-05",0.8761139512062073,Negative,2018-07-05
1334,"52-hour workweek feared to impede new product developmentBy Baek Byung-yeulKorea's statutory maximum working hours have been shortened to a maximum 52 hours a week from 68 hours starting this month, but industry watchers say the new policy may hamper product development, company officials said Wednesday.The new 52-hour workweek is comprised of 40 standard  2018-07-04",0.8782151937484741,Negative,2018-07-04
1336,"China suspected of stealing ,  patentsBy Kim Yoo-chulChinese companies are suspected of stealing the intellectual property of   and   to obtain advanced technological knowhow from them, sources familiar with the matter said Wednesday.“  and   have become the target of industrial es  2018-07-04",0.9172398447990417,Negative,2018-07-04
